TeamA_TeamId,TeamA_Played,TeamA_Wins,TeamA_Loses,TeamA_GoalsFor,TeamA_GoalsAgainst,TeamA_CleanSheets,TeamA_FailedToScore,TeamA_PenaltiesScored,TeamA_PenaltiesMissed,TeamA_StreakWins,TeamA_StreakLoses,TeamA_YellowCardsTotal,TeamA_RedCardsTotal,TeamB_TeamId,TeamB_Played,TeamB_Wins,TeamB_Loses,TeamB_GoalsFor,TeamB_GoalsAgainst,TeamB_CleanSheets,TeamB_FailedToScore,TeamB_PenaltiesScored,TeamB_PenaltiesMissed,TeamB_StreakWins,TeamB_StreakLoses,TeamB_YellowCardsTotal,TeamB_RedCardsTotal,Match_Result
494,31,11,13,36,42,0,0,2,2,3,3,72,4,489,31,13,9,47,37,0,0,4,4,3,3,61,5,-1
517,31,3,16,24,44,0,0,4,1,1,4,65,1,1579,31,2,20,25,55,0,0,3,0,1,5,74,3,1
505,31,20,3,69,30,0,0,6,1,6,1,44,1,490,31,7,15,31,44,0,0,3,0,1,4,58,3,1
496,31,14,3,47,29,0,0,5,0,5,2,53,1,867,31,6,17,22,50,0,0,2,1,1,5,47,5,1
499,31,17,7,63,30,0,0,4,2,11,2,57,1,500,31,15,4,51,35,0,0,6,1,5,1,47,3,1
502,31,15,9,49,32,0,0,6,2,8,3,64,1,523,31,5,14,37,51,0,0,6,1,1,4,62,5,0
504,31,9,18,30,59,0,0,2,0,1,4,79,8,495,31,9,11,29,38,0,0,0,2,1,3,61,0,0
895,31,8,14,39,48,0,0,0,2,2,3,73,6,503,31,9,9,36,36,0,0,1,2,2,3,69,3,1
487,31,16,8,52,42,0,0,5,1,5,1,72,4,497,31,15,8,46,31,0,0,7,0,7,4,56,1,0
492,31,19,4,48,25,0,0,4,1,7,1,37,0,511,31,4,15,24,47,0,0,2,1,1,4,55,4,1
490,32,7,16,32,47,0,0,3,0,1,4,59,3,502,32,15,9,49,32,0,0,6,2,8,3,64,1,-1
495,32,9,11,29,38,0,0,0,2,1,3,62,0,487,32,16,8,53,43,0,0,5,1,5,1,76,4,-1
503,32,9,10,36,37,0,0,1,2,2,3,72,3,494,32,11,14,36,46,0,0,2,2,3,3,73,4,1
523,32,5,14,37,51,0,0,6,1,1,4,67,5,496,32,15,3,49,30,0,0,5,0,5,2,53,1,1
517,33,4,16,27,46,0,0,4,1,1,4,71,2,489,33,14,10,51,38,0,0,4,4,3,3,62,5,-1
